id;region;cantidad_hijos;ingresos_mensuales;ingreso_pcapita;signo_zodiacal;anio_nacimiento;edad;vive_rm;tiene_hijos;entrega_documentos;toma_credito
10319;Región Metropolitana de Santiago.;1;744911;248303.6667;4;1966;55;si;no;0;1
8539;Región de Arica y Parinacota.;2;704887;176221.75;12;1983;38;no;no;0;0
10768;Región de Antofagasta.;0;1175297;587648.5;6;1963;58;no;si;0;1
8061;Región de Arica y Parinacota.;0;635712;317856;6;1983;38;no;si;0;0
1650;Región Metropolitana de Santiago.;0;391231;195615.5;1;1975;46;si;si;0;0
10295;Región de Los Ríos.;0;367888;183944;10;1967;54;no;si;0;0
903;Región del Libertador General Bernardo O’Higgins.;2;672435;168108.75;7;1969;52;no;no;0;0
10180;Región de Arica y Parinacota.;3;665000;133000;4;1983;38;no;no;0;0
3568;Región de Antofagasta.;0;585678;292839;10;1970;51;no;si;0;1
7336;Región de Antofagasta.;2;1142595;285648.75;10;1974;47;no;no;0;1
8500;Región de Los Ríos.;3;476036;95207.2;2;1969;52;no;no;0;0
1652;Región de Atacama.;2;512489;128122.25;2;1973;48;no;no;0;0
2527;Región del Libertador General Bernardo O’Higgins.;0;1078532;539266;8;1974;47;no;si;0;1
10928;Región de Los Ríos.;1;325067;108355.6667;7;1962;59;no;no;0;0
10187;Región del Biobío.;2;472497;118124.25;7;1977;44;no;no;0;0
10009;Región de Coquimbo.;2;382438;95609.5;12;1966;55;no;no;0;0
4914;Región de Aysén del General Carlos Ibáñez del Campo.;0;1128688;564344;12;1983;38;no;si;0;1
5157;Región Metropolitana de Santiago.;0;947238;473619;8;1981;40;si;si;0;1
7609;Región del Biobío.;0;445323;222661.5;4;1971;50;no;si;0;0
10721;Región del Maule.;1;1187439;395813;11;1979;42;no;no;0;1
4681;Región del Maule.;1;305717;101905.6667;7;1978;43;no;no;0;0
5967;Región de Los Lagos.;2;790085;197521.25;5;1968;53;no;no;0;0
2339;Región de Atacama.;1;1016970;338990;8;1977;44;no;no;0;1
1340;Región de Arica y Parinacota.;0;1038766;519383;11;1979;42;no;si;0;1
1373;Región de La Araucanía.;0;358494;179247;7;1962;59;no;si;0;0
7369;Región de Magallanes y la Antártica Chilena.;2;783188;195797;1;1977;44;no;no;0;0
11727;Región de Los Lagos.;1;619162;206387.3333;3;1966;55;no;no;0;0
356;Región Metropolitana de Santiago.;0;635994;317997;6;1966;55;si;si;0;1
11144;Región Metropolitana de Santiago.;3;1052281;210456.2;9;1972;49;si;no;0;1
37;Región del Biobío.;3;572034;114406.8;11;1969;52;no;no;0;0
9961;Región de Los Ríos.;0;333250;166625;8;1975;46;no;si;0;0
7382;Región del Maule.;3;717604;143520.8;9;1979;42;no;no;0;0
11072;Región del Biobío.;1;1027602;342534;4;1962;59;no;no;0;1
10577;Región Metropolitana de Santiago.;1;524471;174823.6667;9;1973;48;si;no;0;0
3548;Región del Ñuble.;0;874697;437348.5;10;1981;40;no;si;0;1
6635;Región de Arica y Parinacota.;1;836866;278955.3333;3;1979;42;no;no;0;1
11247;Región de Coquimbo.;0;470193;235096.5;9;1967;54;no;si;0;0
8836;Región de Los Ríos.;2;364489;91122.25;10;1983;38;no;no;0;0
4046;Región de Los Ríos.;1;544711;181570.3333;11;1980;41;no;no;0;0
8050;Región de Coquimbo.;3;708836;141767.2;9;1962;59;no;no;0;0
10150;Región del Libertador General Bernardo O’Higgins.;1;1032456;344152;4;1966;55;no;no;0;1
1824;Región Metropolitana de Santiago.;1;500088;166696;2;1973;48;si;no;0;0
1527;Región de Valparaíso.;1;514862;171620.6667;11;1968;53;no;no;0;0
7086;Región del Libertador General Bernardo O’Higgins.;1;1030421;343473.6667;2;1971;50;no;no;0;1
12378;Región de Magallanes y la Antártica Chilena.;2;503783;125945.75;6;1973;48;no;no;0;0
9837;Región de Los Ríos.;1;1182145;394048.3333;6;1972;49;no;no;0;1
10723;Región del Libertador General Bernardo O’Higgins.;2;440442;110110.5;8;1968;53;no;no;0;0
7089;Región de Atacama.;3;314898;62979.6;11;1971;50;no;no;0;0
7075;Región de Los Ríos.;2;613464;153366;6;1962;59;no;no;0;0
170;Región del Maule.;2;524178;131044.5;10;1975;46;no;no;0;0
2334;Región de Valparaíso.;0;1028412;514206;8;1962;59;no;si;0;1
6429;Región de La Araucanía.;2;848962;212240.5;5;1979;42;no;no;0;0
10217;Región de Tarapacá.;1;1188392;396130.6667;3;1974;47;no;no;0;1
11475;Región de Tarapacá.;2;1119715;279928.75;3;1963;58;no;no;1;1
8365;Región de Valparaíso.;0;613771;306885.5;9;1983;38;no;si;0;0
11491;Región del Libertador General Bernardo O’Higgins.;1;452004;150668;11;1980;41;no;no;0;0
9897;Región de Los Ríos.;3;965675;193135;7;1982;39;no;no;0;0
8826;Región de Antofagasta.;1;749694;249898;3;1981;40;no;no;0;0
2046;Región de Tarapacá.;1;667135;222378.3333;10;1967;54;no;no;0;0
10317;Región de Coquimbo.;0;683669;341834.5;12;1983;38;no;si;0;1
4131;Región del Libertador General Bernardo O’Higgins.;1;1107279;369093;2;1976;45;no;no;0;1
8298;Región de Antofagasta.;0;720404;360202;4;1965;56;no;si;0;1
192;Región del Ñuble.;2;728832;182208;1;1965;56;no;no;0;0
4784;Región de Magallanes y la Antártica Chilena.;3;687936;137587.2;7;1970;51;no;no;0;0
4603;Región Metropolitana de Santiago.;0;1023833;511916.5;7;1963;58;si;si;0;1
5438;Región de Los Ríos.;1;709384;236461.3333;1;1971;50;no;no;0;0
10430;Región del Maule.;0;846200;423100;9;1979;42;no;si;0;1
3007;Región de Antofagasta.;3;1050309;210061.8;8;1966;55;no;no;0;1
9160;Región de Antofagasta.;0;689247;344623.5;12;1971;50;no;si;0;1
12250;Región de Tarapacá.;1;879124;293041.3333;4;1972;49;no;no;0;1
1360;Región de Los Lagos.;0;772812;386406;5;1971;50;no;si;0;1
3921;Región de Atacama.;0;860606;430303;10;1981;40;no;si;0;1
8168;Región de Tarapacá.;2;617649;154412.25;2;1963;58;no;no;0;0
11441;Región de Valparaíso.;0;1038491;519245.5;1;1981;40;no;si;0;1
12296;Región de Coquimbo.;0;422688;211344;10;1981;40;no;si;0;0
1780;Región de La Araucanía.;3;431444;86288.8;7;1975;46;no;no;0;0
1040;Región del Biobío.;2;799093;199773.25;7;1977;44;no;no;0;0
6117;Región de Antofagasta.;2;1017561;254390.25;3;1970;51;no;no;0;1
6977;Región de Tarapacá.;2;507020;126755;3;1968;53;no;no;0;0
978;Región de Arica y Parinacota.;0;832804;416402;2;1974;47;no;si;0;1
4047;Región de Los Lagos.;1;1100093;366697.6667;5;1967;54;no;no;0;1
11802;Región del Maule.;3;880788;176157.6;7;1979;42;no;no;0;0
8455;Región de Valparaíso.;2;701561;175390.25;3;1962;59;no;no;0;0
8527;Región de Los Ríos.;1;696784;232261.3333;1;1980;41;no;no;0;0
9851;Región del Maule.;3;800472;160094.4;9;1968;53;no;no;0;0
11438;Región del Libertador General Bernardo O’Higgins.;2;741345;185336.25;1;1964;57;no;no;0;0
2535;Región de Valparaíso.;3;526330;105266;10;1962;59;no;no;0;0
3514;Región de Coquimbo.;3;440180;88036;2;1982;39;no;no;0;0
9817;Región de Los Ríos.;2;871956;217989;1;1964;57;no;no;0;1
264;Región de Valparaíso.;3;917804;183560.8;12;1967;54;no;no;0;1
6942;Región Metropolitana de Santiago.;3;1131698;226339.6;2;1978;43;si;no;0;1
10505;Región del Ñuble.;1;498737;166245.6667;1;1975;46;no;no;0;0
4657;Región de Antofagasta.;3;452137;90427.4;2;1976;45;no;no;0;0
3049;Región de Coquimbo.;1;479244;159748;12;1981;40;no;no;0;0
9402;Región de Atacama.;0;570878;285439;3;1978;43;no;si;0;0
5555;Región del Libertador General Bernardo O’Higgins.;1;818651;272883.6667;7;1976;45;no;no;0;1
12160;Región del Libertador General Bernardo O’Higgins.;0;765231;382615.5;3;1967;54;no;si;0;1
5962;Región de Los Lagos.;3;727235;145447;10;1970;51;no;no;0;0
4141;Región Metropolitana de Santiago.;1;922113;307371;5;1975;46;si;no;0;1
5914;Región de Valparaíso.;0;996473;498236.5;4;1971;50;no;si;0;1
7846;Región de La Araucanía.;3;1020750;204150;8;1974;47;no;no;0;1
9834;Región de Tarapacá.;1;973121;324373.6667;5;1978;43;no;no;0;1
3675;Región del Ñuble.;1;1120858;373619.3333;10;1979;42;no;no;0;1
12350;Región del Biobío.;1;775039;258346.3333;11;1982;39;no;no;0;0
6997;Región de Los Ríos.;2;559033;139758.25;12;1979;42;no;no;0;0
6748;Región del Libertador General Bernardo O’Higgins.;2;1076141;269035.25;7;1967;54;no;no;0;1
11987;Región de Arica y Parinacota.;0;398341;199170.5;8;1969;52;no;si;0;0
3812;Región de Tarapacá.;1;1193157;397719;4;1977;44;no;no;0;1
10985;Región de Antofagasta.;3;491159;98231.8;11;1982;39;no;no;0;0
462;Región del Ñuble.;2;628488;157122;3;1975;46;no;no;0;0
4157;Región del Libertador General Bernardo O’Higgins.;3;600327;120065.4;10;1979;42;no;no;0;0
4360;Región del Ñuble.;3;1166641;233328.2;11;1980;41;no;no;0;1
10325;Región de Coquimbo.;0;503169;251584.5;11;1983;38;no;si;0;0
6071;Región de La Araucanía.;3;1010155;202031;8;1973;48;no;no;0;1
11834;Región de Los Lagos.;2;635974;158993.5;6;1964;57;no;no;0;0
680;Región de Magallanes y la Antártica Chilena.;2;490524;122631;7;1978;43;no;no;0;0
9333;Región de Magallanes y la Antártica Chilena.;0;566660;283330;1;1963;58;no;si;0;1
11810;Región de La Araucanía.;0;1067920;533960;5;1976;45;no;si;0;1
76;Región de La Araucanía.;3;369816;73963.2;3;1973;48;no;no;0;0
6213;Región del Libertador General Bernardo O’Higgins.;2;1156967;289241.75;6;1975;46;no;no;0;1
11913;Región de Los Lagos.;2;1134338;283584.5;2;1965;56;no;no;0;1
382;Región de Arica y Parinacota.;3;729970;145994;11;1971;50;no;no;0;0
10250;Región del Libertador General Bernardo O’Higgins.;3;398753;79750.6;12;1962;59;no;no;0;0
2103;Región de Atacama.;0;309582;154791;8;1964;57;no;si;0;0
7195;Región de La Araucanía.;1;667143;222381;7;1967;54;no;no;0;0
5875;Región de Coquimbo.;2;1090345;272586.25;8;1977;44;no;no;0;1
3796;Región de Atacama.;1;1162165;387388.3333;7;1969;52;no;no;0;1
4927;Región de Antofagasta.;3;870150;174030;9;1972;49;no;no;0;0
6840;Región de Valparaíso.;1;1041198;347066;12;1982;39;no;no;0;1
7800;Región de Los Ríos.;1;425366;141788.6667;5;1976;45;no;no;0;0
5520;Región del Ñuble.;2;685982;171495.5;12;1970;51;no;no;0;0
1271;Región de Atacama.;3;932974;186594.8;3;1963;58;no;no;0;1
9830;Región de Los Lagos.;3;360934;72186.8;10;1982;39;no;no;0;0
10997;Región de Aysén del General Carlos Ibáñez del Campo.;2;794418;198604.5;3;1978;43;no;no;0;0
10114;Región de Antofagasta.;0;1096062;548031;4;1964;57;no;si;0;1
6445;Región de Los Lagos.;3;501005;100201;3;1962;59;no;no;0;0
4931;Región de Magallanes y la Antártica Chilena.;1;572168;190722.6667;4;1965;56;no;no;0;0
7912;Región de Antofagasta.;3;939042;187808.4;10;1981;40;no;no;0;0
3652;Región del Libertador General Bernardo O’Higgins.;2;430788;107697;1;1967;54;no;no;0;0
5140;Región de La Araucanía.;1;362147;120715.6667;12;1977;44;no;no;0;0
7735;Región de Atacama.;3;1001673;200334.6;2;1983;38;no;no;0;0
3287;Región de Los Ríos.;3;1159125;231825;8;1973;48;no;no;0;1
3065;Región de Antofagasta.;1;506555;168851.6667;5;1980;41;no;no;0;0
1762;Región del Ñuble.;3;861792;172358.4;7;1975;46;no;no;0;0
9602;Región de Atacama.;2;830706;207676.5;6;1977;44;no;no;0;0
6436;Región del Ñuble.;3;735470;147094;7;1978;43;no;no;0;0
3604;Región de Aysén del General Carlos Ibáñez del Campo.;0;998888;499444;3;1982;39;no;si;0;1
1894;Región de Aysén del General Carlos Ibáñez del Campo.;1;948985;316328.3333;3;1976;45;no;no;0;1
4649;Región Metropolitana de Santiago.;3;346314;69262.8;6;1972;49;si;no;0;0
12259;Región de Arica y Parinacota.;0;1039278;519639;9;1971;50;no;si;0;1
3480;Región de La Araucanía.;1;688698;229566;7;1972;49;no;no;0;0
11259;Región de Antofagasta.;1;1125774;375258;4;1977;44;no;no;0;1
10946;Región del Libertador General Bernardo O’Higgins.;1;732797;244265.6667;9;1968;53;no;no;0;1
4889;Región del Libertador General Bernardo O’Higgins.;2;503713;125928.25;9;1975;46;no;no;0;0
10431;Región del Libertador General Bernardo O’Higgins.;0;1178424;589212;11;1969;52;no;si;0;1
5044;Región del Biobío.;3;343815;68763;2;1966;55;no;no;0;0
6723;Región de Los Ríos.;3;928476;185695.2;5;1977;44;no;no;0;0
236;Región de Magallanes y la Antártica Chilena.;0;646904;323452;2;1974;47;no;si;0;1
184;Región del Biobío.;2;767901;191975.25;11;1980;41;no;no;0;0
6890;Región de Magallanes y la Antártica Chilena.;0;920958;460479;9;1981;40;no;si;0;1
6694;Región Metropolitana de Santiago.;0;981334;490667;2;1970;51;si;si;0;1
7016;Región de Arica y Parinacota.;1;648951;216317;11;1969;52;no;no;0;0
5406;Región del Maule.;1;520106;173368.6667;9;1974;47;no;no;0;0
6964;Región de Arica y Parinacota.;2;695806;173951.5;3;1962;59;no;no;0;0
8989;Región de Arica y Parinacota.;0;746216;373108;9;1976;45;no;si;0;1
5818;Región del Ñuble.;0;694272;347136;1;1966;55;no;si;0;1
5766;Región de Los Lagos.;3;833176;166635.2;10;1964;57;no;no;0;0
11226;Región de La Araucanía.;1;1021738;340579.3333;8;1963;58;no;no;0;1
2162;Región de Los Ríos.;0;663673;331836.5;1;1963;58;no;si;0;1
5728;Región de Antofagasta.;2;1043780;260945;8;1982;39;no;no;0;1
657;Región de Tarapacá.;3;994280;198856;2;1983;38;no;no;0;0
3794;Región de Tarapacá.;3;643758;128751.6;10;1973;48;no;no;0;0
3575;Región de Atacama.;2;1038629;259657.25;4;1982;39;no;no;0;1
2837;Región de La Araucanía.;3;656638;131327.6;11;1977;44;no;no;0;0
11057;Región de Valparaíso.;2;1115289;278822.25;4;1976;45;no;no;0;1
12375;Región de Arica y Parinacota.;2;500018;125004.5;1;1975;46;no;no;0;0
11934;Región de Antofagasta.;3;786225;157245;2;1972;49;no;no;0;0
10484;Región de Los Ríos.;3;1178010;235602;5;1980;41;no;no;0;1
10410;Región del Ñuble.;3;848274;169654.8;5;1972;49;no;no;0;0
8537;Región del Maule.;1;1128470;376156.6667;11;1966;55;no;no;0;1
990;Región de La Araucanía.;0;342276;171138;10;1970;51;no;si;0;0
482;Región de Los Ríos.;0;1125360;562680;10;1968;53;no;si;0;1
6062;Región de Valparaíso.;1;407210;135736.6667;8;1976;45;no;no;0;0
3806;Región del Maule.;1;535428;178476;3;1975;46;no;no;0;0
12168;Región de Arica y Parinacota.;2;1061571;265392.75;5;1966;55;no;no;0;1
12297;Región de La Araucanía.;3;468447;93689.4;8;1964;57;no;no;0;0
8405;Región del Ñuble.;1;865123;288374.3333;10;1973;48;no;no;0;1
956;Región de Magallanes y la Antártica Chilena.;1;960252;320084;10;1979;42;no;no;0;1
8772;Región del Libertador General Bernardo O’Higgins.;1;561651;187217;7;1965;56;no;no;0;0
8259;Región del Libertador General Bernardo O’Higgins.;1;409369;136456.3333;10;1970;51;no;no;0;0
9643;Región de Los Ríos.;2;641936;160484;4;1972;49;no;no;0;0
9890;Región de Valparaíso.;2;819991;204997.75;12;1979;42;no;no;0;0
4316;Región del Maule.;3;592568;118513.6;5;1977;44;no;no;0;0
10765;Región del Biobío.;0;856807;428403.5;2;1966;55;no;si;0;1
6182;Región de Magallanes y la Antártica Chilena.;1;640891;213630.3333;1;1972;49;no;no;0;0
11638;Región de Coquimbo.;3;591253;118250.6;1;1964;57;no;no;0;0
11482;Región Metropolitana de Santiago.;0;394297;197148.5;5;1982;39;si;si;0;0
1876;Región de Los Lagos.;1;878835;292945;10;1965;56;no;no;0;1
8198;Región de Los Ríos.;1;725377;241792.3333;7;1975;46;no;no;1;0
3319;Región de Magallanes y la Antártica Chilena.;0;569890;284945;11;1975;46;no;si;0;0
10258;Región de Valparaíso.;1;476294;158764.6667;7;1980;41;no;no;0;0
1002;Región de Antofagasta.;3;1031861;206372.2;6;1968;53;no;no;0;1
4072;Región de Aysén del General Carlos Ibáñez del Campo.;3;420414;84082.8;2;1977;44;no;no;0;0
7130;Región de Aysén del General Carlos Ibáñez del Campo.;2;424667;106166.75;4;1977;44;no;no;0;0
3214;Región de Antofagasta.;3;318845;63769;5;1977;44;no;no;0;0
9285;Región del Ñuble.;0;849555;424777.5;3;1983;38;no;si;0;1
3329;Región de Aysén del General Carlos Ibáñez del Campo.;3;675666;135133.2;12;1981;40;no;no;0;0
3424;Región de Tarapacá.;3;587956;117591.2;5;1983;38;no;no;0;0
8359;Región de La Araucanía.;0;868747;434373.5;3;1970;51;no;si;0;1
146;Región del Maule.;3;477404;95480.8;9;1969;52;no;no;0;0
4979;Región del Biobío.;1;370540;123513.3333;11;1967;54;no;no;0;0
1291;Región Metropolitana de Santiago.;3;647890;129578;1;1981;40;si;no;0;0
980;Región de Tarapacá.;2;1195453;298863.25;12;1968;53;no;no;0;1
7376;Región de Tarapacá.;2;1024493;256123.25;7;1964;57;no;no;0;1
5525;Región de Antofagasta.;1;554069;184689.6667;11;1981;40;no;no;0;0
11122;Región del Libertador General Bernardo O’Higgins.;1;988931;329643.6667;11;1964;57;no;no;0;1
10522;Región de Tarapacá.;2;605849;151462.25;2;1971;50;no;no;0;0
1001;Región del Ñuble.;1;828781;276260.3333;3;1962;59;no;no;0;1
10191;Región de Antofagasta.;0;1015834;507917;9;1979;42;no;si;0;1
10343;Región de Atacama.;2;742454;185613.5;2;1977;44;no;no;0;0
4447;Región del Libertador General Bernardo O’Higgins.;3;331497;66299.4;5;1963;58;no;no;0;0
1785;Región Metropolitana de Santiago.;0;809012;404506;12;1964;57;si;si;0;1
4298;Región del Biobío.;2;534504;133626;4;1965;56;no;no;0;0
2255;Región del Biobío.;2;389517;97379.25;6;1972;49;no;no;0;0
9594;Región de Antofagasta.;0;736910;368455;12;1967;54;no;si;0;1
10539;Región de Arica y Parinacota.;2;352893;88223.25;3;1969;52;no;no;0;0
8086;Región de Tarapacá.;2;821730;205432.5;9;1965;56;no;no;0;1
11797;Región del Biobío.;2;600846;150211.5;6;1964;57;no;no;0;0
12184;Región del Ñuble.;3;690883;138176.6;4;1977;44;no;no;0;0
7864;Región de Magallanes y la Antártica Chilena.;0;359350;179675;9;1967;54;no;si;0;0
6983;Región Metropolitana de Santiago.;3;1035636;207127.2;6;1964;57;si;no;0;1
2619;Región del Libertador General Bernardo O’Higgins.;2;1005290;251322.5;10;1982;39;no;no;0;1
6229;Región de Magallanes y la Antártica Chilena.;1;633735;211245;2;1979;42;no;no;0;0
3983;Región de Antofagasta.;3;1168578;233715.6;3;1981;40;no;no;0;1
2706;Región del Libertador General Bernardo O’Higgins.;2;1045849;261462.25;1;1978;43;no;no;0;1
9686;Región del Libertador General Bernardo O’Higgins.;0;833327;416663.5;2;1973;48;no;si;0;1
11427;Región de Aysén del General Carlos Ibáñez del Campo.;1;1114302;371434;9;1979;42;no;no;0;1
4227;Región de Aysén del General Carlos Ibáñez del Campo.;1;389020;129673.3333;5;1983;38;no;no;0;0
2040;Región de Los Ríos.;0;610579;305289.5;5;1972;49;no;si;0;1
7339;Región de Tarapacá.;3;676228;135245.6;3;1970;51;no;no;0;0
9876;Región del Biobío.;1;601096;200365.3333;5;1967;54;no;no;0;0
446;Región de La Araucanía.;1;473057;157685.6667;11;1969;52;no;no;0;0
5667;Región de Aysén del General Carlos Ibáñez del Campo.;2;433514;108378.5;1;1983;38;no;no;0;0
7166;Región del Ñuble.;2;522359;130589.75;8;1962;59;no;no;0;0
12191;Región de Arica y Parinacota.;3;318268;63653.6;7;1972;49;no;no;0;0
2531;Región de Aysén del General Carlos Ibáñez del Campo.;0;400119;200059.5;4;1983;38;no;si;0;0
4470;Región del Maule.;1;304473;101491;7;1965;56;no;no;0;0
8268;Región de Aysén del General Carlos Ibáñez del Campo.;1;331275;110425;5;1966;55;no;no;0;0
7072;Región de Coquimbo.;0;630282;315141;11;1970;51;no;si;0;1
1837;Región Metropolitana de Santiago.;2;955767;238941.75;9;1962;59;si;no;0;1
12027;Región de Los Ríos.;2;940249;235062.25;9;1967;54;no;no;0;1
9487;Región de La Araucanía.;0;983258;491629;4;1966;55;no;si;0;1
3187;Región de Magallanes y la Antártica Chilena.;3;319451;63890.2;3;1962;59;no;no;0;0
11961;Región de Antofagasta.;3;408381;81676.2;11;1974;47;no;no;0;0
12356;Región de Antofagasta.;1;1197944;399314.6667;12;1979;42;no;no;0;1
1051;Región del Ñuble.;1;740288;246762.6667;9;1983;38;no;no;0;0
12530;Región de Atacama.;1;1061077;353692.3333;7;1962;59;no;no;0;1
9964;Región de La Araucanía.;0;816981;408490.5;8;1974;47;no;si;0;1
8542;Región de Atacama.;3;946889;189377.8;3;1983;38;no;no;0;0
2460;Región de Arica y Parinacota.;3;955710;191142;8;1980;41;no;no;0;0
11269;Región de Los Lagos.;2;753214;188303.5;1;1970;51;no;no;0;0
7237;Región de Atacama.;1;1143792;381264;9;1982;39;no;no;0;1
3414;Región de Aysén del General Carlos Ibáñez del Campo.;1;642524;214174.6667;7;1968;53;no;no;0;0
6072;Región de La Araucanía.;3;889913;177982.6;11;1964;57;no;no;0;1
340;Región de Coquimbo.;0;1067231;533615.5;11;1977;44;no;si;0;1
10215;Región de Atacama.;1;721693;240564.3333;7;1980;41;no;no;0;0
921;Región del Biobío.;2;1150895;287723.75;8;1963;58;no;no;0;1
10549;Región de Coquimbo.;2;764340;191085;8;1974;47;no;no;0;0
8526;Región del Biobío.;1;507874;169291.3333;11;1970;51;no;no;0;0
10961;Región de Atacama.;0;718171;359085.5;1;1963;58;no;si;0;1
127;Región de Los Lagos.;2;659173;164793.25;9;1963;58;no;no;0;0
2324;Región de Los Lagos.;3;1171601;234320.2;11;1970;51;no;no;0;1
7430;Región de La Araucanía.;3;436677;87335.4;1;1982;39;no;no;0;0
9773;Región de Arica y Parinacota.;3;480561;96112.2;4;1973;48;no;no;0;0
8640;Región de Coquimbo.;1;1125347;375115.6667;6;1983;38;no;no;0;1
12407;Región de Los Ríos.;2;1158883;289720.75;10;1966;55;no;no;0;1
12007;Región de Magallanes y la Antártica Chilena.;2;797752;199438;8;1982;39;no;no;0;0
11945;Región de Valparaíso.;1;1084448;361482.6667;9;1962;59;no;no;0;1
