NDOC,FECHA,Tipo de Producto o Servicio,CPROD,Producto/Servicio,Variante,Tipo de Prod.,Estacion
13,19/12/2018,Helados,137,Relleno,Platano crema avellana&cacao,Comestible,Primavera
13,19/12/2018,Helados,140,Cremoso,Oreo,Comestible,Primavera
13,20/02/2019,Bebidas,107,Vital,Gasificada 600ml,Bebestible,Verano
14,19/12/2018,Abarrotes,129,Mani,Salado 75g,Comestible,Primavera
14,19/12/2018,Bebidas,97,Sprite,Lata 220ml,Bebestible,Primavera
15,19/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
15,23/02/2019,Lavado Express,1544748766540,Interior y exterior,Vehículos pequeños,Servicio de Lavado,Verano
16,19/12/2018,Abarrotes,131,Tremenda,Morocha,Comestible,Primavera
17,19/12/2018,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Primavera
18,19/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Primavera
18,19/12/2018,Café,40,Marley Coffe,Mediano,Bebestible,Primavera
18,28/02/2019,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
18,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
19,19/12/2018,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Primavera
19,19/12/2018,Café,40,Marley Coffe,Mediano,Bebestible,Primavera
19,08/03/2019,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
20,19/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Primavera
20,16/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
21,19/12/2018,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Primavera
21,19/12/2018,Bebidas,95,Coca-cola zero,Lata 220ml,Bebestible,Primavera
21,19/12/2018,Bebidas,97,Sprite,Lata 220ml,Bebestible,Primavera
21,19/12/2018,Abarrotes,123,Selz,Clasico 35g,Comestible,Primavera
21,19/12/2018,Abarrotes,6,Capri,Sabor a Frutilla 30g,Comestible,Primavera
21,18/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
22,19/12/2018,Café,40,Marley Coffe,Mediano,Bebestible,Primavera
22,19/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
22,26/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Otoño
23,19/12/2018,Café,39,Marley Coffe,Espresso,Bebestible,Primavera
23,22/04/2019,Lavado Interior,1547815815450,Lavado y aspirado,Vehículos sobre medida,Servicio de Lavado,Otoño
24,19/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
24,19/12/2018,Café,41,Marley Coffe,Grande,Bebestible,Primavera
24,31/07/2019,Lavado Express,1544748766540,Interior y exterior,Vehículos pequeños,Servicio de Lavado,Invierno
24,31/07/2019,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Invierno
25,19/12/2018,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Primavera
25,19/12/2018,Café,41,Marley Coffe,Grande,Bebestible,Primavera
25,01/08/2019,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Invierno
26,19/12/2018,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Primavera
26,03/08/2019,Helados,140,Cremoso,Oreo,Comestible,Invierno
27,19/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
27,06/08/2019,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Invierno
28,19/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
29,19/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
29,21/08/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Invierno
30,19/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
30,22/08/2019,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Invierno
31,19/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
31,24/08/2019,Lavado Express,148,Express,Full,Servicio de Lavado,Invierno
32,20/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
32,30/08/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Invierno
33,20/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
33,30/08/2019,Lavado Express,1544748998523,Lavado interior y exterior,Vehículo sobre medida,Servicio de Lavado,Invierno
33,30/08/2019,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Invierno
34,20/12/2018,Café,39,Marley Coffe,Espresso,Bebestible,Primavera
35,20/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
36,20/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
37,20/12/2018,Abarrotes,68,Wild Bar,Peanuts& chocolate,Comestible,Primavera
37,20/12/2018,Abarrotes,71,Protein snack,Rich caramel,Comestible,Primavera
37,20/12/2018,Abarrotes,73,Protein snack,Chocolate&crispis,Comestible,Primavera
37,20/12/2018,Abarrotes,72,Protein snack,Yoghut&berries,Comestible,Primavera
38,20/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
38,28/09/2019,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Primavera
38,28/09/2019,Café,41,Marley Coffe,Grande,Bebestible,Primavera
39,20/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Primavera
39,07/10/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
40,20/12/2018,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Primavera
40,28/11/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
41,20/12/2018,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Primavera
41,09/12/2019,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Primavera
42,20/12/2018,Accesorio auto,74,Sonax,Purificador aire acondicionado,Accesorio Auto,Primavera
42,14/01/2020,Helados,140,Cremoso,Oreo,Comestible,Verano
43,20/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
44,20/12/2018,Abarrotes,65,Protein Bite,Caramel Peanuts,Comestible,Primavera
44,20/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Primavera
45,20/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
46,20/12/2018,Abarrotes,52,Barra chocolate,Sahne-nuss 30g,Comestible,Primavera
46,20/12/2018,Bebidas,97,Sprite,Lata 220ml,Bebestible,Primavera
47,20/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
48,20/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
49,20/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
50,20/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Primavera
50,20/12/2018,Bebidas,110,Vitamin Water,Energy,Bebestible,Primavera
51,20/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Primavera
52,20/12/2018,Abarrotes,54,Barra chocolate,Kit Kat 41g,Comestible,Primavera
52,20/12/2018,Bebidas,96,Fanta,Lata 220ml,Bebestible,Primavera
53,20/12/2018,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Primavera
54,20/12/2018,Helados,141,Cremoso,Manjar Brownie,Comestible,Primavera
55,20/12/2018,Café,39,Marley Coffe,Espresso,Bebestible,Primavera
56,20/12/2018,Lavado Express,1545325471118,Dos lavados medios Giftcard,,Servicio de Lavado,Primavera
57,20/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
58,20/12/2018,Lavado Express,1544748766540,Interior y exterior,Vehículos pequeños,Servicio de Lavado,Primavera
59,20/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
60,21/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
61,21/12/2018,Café,40,Marley Coffe,Mediano,Bebestible,Verano
62,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
62,21/12/2018,Café,41,Marley Coffe,Grande,Bebestible,Verano
63,21/12/2018,Abarrotes,72,Protein snack,Yoghut&berries,Comestible,Verano
63,21/12/2018,Café,41,Marley Coffe,Grande,Bebestible,Verano
63,21/12/2018,Abarrotes,64,Paleo Bar,Almendras Coco,Comestible,Verano
64,21/12/2018,Lavado Express,1545325471118,Dos lavados medios Giftcard,,Servicio de Lavado,Verano
65,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
66,21/12/2018,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
67,21/12/2018,Café,41,Marley Coffe,Grande,Bebestible,Verano
68,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
69,21/12/2018,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
70,21/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
71,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
72,21/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
73,21/12/2018,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
74,21/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
75,21/12/2018,Bebidas,107,Vital,Gasificada 600ml,Bebestible,Verano
75,21/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
76,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
76,21/12/2018,Café,40,Marley Coffe,Mediano,Bebestible,Verano
77,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
77,21/12/2018,Bebidas,103,Aquarius,Pera 500ml,Bebestible,Verano
77,21/12/2018,Abarrotes,53,Barra chocolate,Sahne-nuss 14g,Comestible,Verano
77,21/12/2018,Abarrotes,52,Barra chocolate,Sahne-nuss 30g,Comestible,Verano
77,21/12/2018,Abarrotes,84,Lays,Tarro corte americano 40g,Comestible,Verano
78,21/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
79,21/12/2018,Abarrotes,87,Chicle Bigtime,Frutilla 6,Comestible,Verano
80,21/12/2018,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
81,21/12/2018,Café,39,Marley Coffe,Espresso,Bebestible,Verano
81,21/12/2018,Café,40,Marley Coffe,Mediano,Bebestible,Verano
82,21/12/2018,Bebidas,95,Coca-cola zero,Lata 220ml,Bebestible,Verano
82,21/12/2018,Lavado Express,1544748766540,Interior y exterior,Vehículos pequeños,Servicio de Lavado,Verano
83,21/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
84,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
85,21/12/2018,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
86,21/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
86,21/12/2018,Café,40,Marley Coffe,Mediano,Bebestible,Verano
87,21/12/2018,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
88,21/12/2018,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
89,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
90,21/12/2018,Bebidas,112,Vitamin Water,Restore,Bebestible,Verano
91,21/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
92,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
93,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
94,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
95,21/12/2018,Lavado Express,1544748766540,Interior y exterior,Vehículos pequeños,Servicio de Lavado,Verano
96,21/12/2018,Café,40,Marley Coffe,Mediano,Bebestible,Verano
97,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
98,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
99,21/12/2018,Café,39,Marley Coffe,Espresso,Bebestible,Verano
100,21/12/2018,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
101,21/12/2018,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
101,21/12/2018,Café,41,Marley Coffe,Grande,Bebestible,Verano
102,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
103,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
104,21/12/2018,Café,40,Marley Coffe,Mediano,Bebestible,Verano
105,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
106,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
107,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
107,21/12/2018,Café,40,Marley Coffe,Mediano,Bebestible,Verano
108,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
108,21/12/2018,Helados,137,Relleno,Platano crema avellana&cacao,Comestible,Verano
108,21/12/2018,Helados,143,Cremoso,Manjar Nuez,Comestible,Verano
108,21/12/2018,Helados,133,Relleno,Frambuesa leche condensada,Comestible,Verano
109,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
110,21/12/2018,Bebidas,112,Vitamin Water,Restore,Bebestible,Verano
111,21/12/2018,Helados,144,Relleno,Coco crema avellana,Comestible,Verano
111,21/12/2018,Café,41,Marley Coffe,Grande,Bebestible,Verano
111,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
112,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
113,21/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
114,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
115,21/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
116,21/12/2018,Helados,138,Cremoso,Yogurt griego,Comestible,Verano
117,22/12/2018,Café,41,Marley Coffe,Grande,Bebestible,Verano
117,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
118,22/12/2018,Lavado Express,1545325471118,Dos lavados medios Giftcard,,Servicio de Lavado,Verano
119,22/12/2018,Lavado Express,1545325471118,Dos lavados medios Giftcard,,Servicio de Lavado,Verano
120,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
121,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
122,22/12/2018,Café,40,Marley Coffe,Mediano,Bebestible,Verano
122,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
123,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
124,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
125,22/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
126,22/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
127,22/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
127,22/12/2018,Abarrotes,66,Protein Bite,Chocolate&Crunch,Comestible,Verano
127,22/12/2018,Abarrotes,62,Hobby,40g,Comestible,Verano
128,22/12/2018,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
129,22/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
130,22/12/2018,Abarrotes,53,Barra chocolate,Sahne-nuss 14g,Comestible,Verano
130,22/12/2018,Abarrotes,64,Paleo Bar,Almendras Coco,Comestible,Verano
130,22/12/2018,Café,41,Marley Coffe,Grande,Bebestible,Verano
130,22/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
131,14/12/2018,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Primavera
131,22/12/2018,Bebidas,107,Vital,Gasificada 600ml,Bebestible,Verano
132,14/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Primavera
132,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
132,22/12/2018,Abarrotes,129,Mani,Salado 75g,Comestible,Verano
132,22/12/2018,Café,40,Marley Coffe,Mediano,Bebestible,Verano
133,14/12/2018,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Primavera
133,22/12/2018,Lavado Express,1545325471118,Dos lavados medios Giftcard,,Servicio de Lavado,Verano
134,14/12/2018,Lavado Express,1544748998523,Lavado interior y exterior,Vehículo sobre medida,Servicio de Lavado,Primavera
134,22/12/2018,Bebidas,94,Coca-cola,Lata 220ml,Bebestible,Verano
135,15/12/2018,Lavado Express,1544748998523,Lavado interior y exterior,Vehículo sobre medida,Servicio de Lavado,Primavera
135,22/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
135,22/12/2018,Café,39,Marley Coffe,Espresso,Bebestible,Verano
136,17/12/2018,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Primavera
136,22/12/2018,Bebidas,103,Aquarius,Pera 500ml,Bebestible,Verano
137,21/12/2018,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
137,22/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
137,22/12/2018,Abarrotes,66,Protein Bite,Chocolate&Crunch,Comestible,Verano
138,22/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
138,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
139,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
139,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
140,22/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
140,26/12/2018,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
141,22/12/2018,Lavado Express,1544800400730,Fichas Aspirado,Autoservicio,Servicio de Lavado,Verano
141,22/12/2018,Café,41,Marley Coffe,Grande,Bebestible,Verano
141,26/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
142,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
142,28/12/2018,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
143,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
143,31/12/2018,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
143,31/12/2018,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
143,31/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
144,22/12/2018,Abarrotes,69,Twenty´s,Lemon Cheesecake,Comestible,Verano
144,22/12/2018,Abarrotes,65,Protein Bite,Caramel Peanuts,Comestible,Verano
144,22/12/2018,Accesorio auto,74,Sonax,Purificador aire acondicionado,Accesorio Auto,Verano
144,31/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
145,22/12/2018,Bebidas,102,Aquarius,Manzana 500ml,Bebestible,Verano
145,22/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
145,31/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
146,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
146,22/12/2018,Bebidas,98,Monster,Ripper,Bebestible,Verano
146,22/12/2018,Abarrotes,54,Barra chocolate,Kit Kat 41g,Comestible,Verano
146,31/12/2018,Lavado Express,1544748998523,Lavado interior y exterior,Vehículo sobre medida,Servicio de Lavado,Verano
147,22/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
147,31/12/2018,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
147,31/12/2018,Lavado Express,1544748998523,Lavado interior y exterior,Vehículo sobre medida,Servicio de Lavado,Verano
147,31/12/2018,Accesorio auto,34,Ampolleta Bosch,Luz de freno doble filamento,Accesorio Auto,Verano
147,31/12/2018,Accesorio auto,20,Aromatizante Little Trees,Pino New Car,Accesorio Auto,Verano
148,22/12/2018,Bebidas,107,Vital,Gasificada 600ml,Bebestible,Verano
148,31/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
148,31/12/2018,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
149,22/12/2018,Lavado Express,1545325471118,Dos lavados medios Giftcard,,Servicio de Lavado,Verano
149,31/12/2018,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
150,22/12/2018,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
150,22/12/2018,Abarrotes,72,Protein snack,Yoghut&berries,Comestible,Verano
150,03/01/2019,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
151,22/12/2018,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
151,03/01/2019,Lavado Express,150,Express,Sobre medida,Servicio de Lavado,Verano
152,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
153,22/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
154,22/12/2018,Abarrotes,127,Twistos,Jamón Ibérico,Comestible,Verano
154,22/12/2018,Abarrotes,76,Mini Triton,sabor vainilla 40g,Comestible,Verano
154,22/12/2018,Abarrotes,85,Barra chocolate,Prestigio 35g,Comestible,Verano
154,22/12/2018,Abarrotes,52,Barra chocolate,Sahne-nuss 30g,Comestible,Verano
155,22/12/2018,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
156,22/12/2018,Helados,144,Relleno,Coco crema avellana,Comestible,Verano
156,22/12/2018,Helados,133,Relleno,Frambuesa leche condensada,Comestible,Verano
157,22/12/2018,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
157,22/12/2018,Helados,141,Cremoso,Manjar Brownie,Comestible,Verano
157,22/12/2018,Helados,138,Cremoso,Yogurt griego,Comestible,Verano
158,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
159,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
160,22/12/2018,Café,39,Marley Coffe,Espresso,Bebestible,Verano
160,22/12/2018,Accesorio auto,24,Aromatizante Little Trees,Pino Peachy Peach,Accesorio Auto,Verano
160,22/12/2018,Abarrotes,87,Chicle Bigtime,Frutilla 6,Comestible,Verano
161,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
162,22/12/2018,Bebidas,107,Vital,Gasificada 600ml,Bebestible,Verano
163,22/12/2018,Bebidas,107,Vital,Gasificada 600ml,Bebestible,Verano
163,22/12/2018,Bebidas,102,Aquarius,Manzana 500ml,Bebestible,Verano
164,22/12/2018,Lavado Express,1545325471118,Dos lavados medios Giftcard,,Servicio de Lavado,Verano
165,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
165,22/12/2018,Helados,143,Cremoso,Manjar Nuez,Comestible,Verano
166,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
167,22/12/2018,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
168,22/12/2018,Abarrotes,90,Chicle Bigtime,Sandia,Comestible,Verano
169,22/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
170,22/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
171,22/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
171,22/12/2018,Helados,135,Frutal,Kiwi,Comestible,Verano
171,22/12/2018,Helados,134,Relleno,Maracuyá leche condensada,Comestible,Verano
171,22/12/2018,Helados,145,Relleno,Frutilla Leche condensada,Comestible,Verano
172,22/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
172,22/12/2018,Helados,139,Cremoso,Chocolate Almendra,Comestible,Verano
172,22/12/2018,Helados,136,Frutal,Piña,Comestible,Verano
173,22/12/2018,Helados,136,Frutal,Piña,Comestible,Verano
173,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
174,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
174,22/12/2018,Helados,133,Relleno,Frambuesa leche condensada,Comestible,Verano
174,22/12/2018,Helados,141,Cremoso,Manjar Brownie,Comestible,Verano
175,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
175,22/12/2018,Bebidas,102,Aquarius,Manzana 500ml,Bebestible,Verano
175,22/12/2018,Abarrotes,76,Mini Triton,sabor vainilla 40g,Comestible,Verano
176,22/12/2018,Bebidas,103,Aquarius,Pera 500ml,Bebestible,Verano
177,22/12/2018,Café,40,Marley Coffe,Mediano,Bebestible,Verano
178,22/12/2018,Bebidas,98,Monster,Ripper,Bebestible,Verano
179,22/12/2018,Abarrotes,84,Lays,Tarro corte americano 40g,Comestible,Verano
180,22/12/2018,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
181,22/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
182,22/12/2018,Bebidas,108,Vitamin Water,Essential,Bebestible,Verano
